class,label,path
horse,6,JPEGImages/horse/horse_10337.jpg
tiger,12,JPEGImages/tiger/tiger_10165.jpg
antelope,0,JPEGImages/antelope/antelope_10091.jpg
persian cat,5,JPEGImages/persian+cat/persian+cat_10543.jpg
zebra,37,JPEGImages/zebra/zebra_10046.jpg
elephant,18,JPEGImages/elephant/elephant_10878.jpg
rabbit,28,JPEGImages/rabbit/rabbit_10777.jpg
buffalo,36,JPEGImages/buffalo/buffalo_10003.jpg
gorilla,19,JPEGImages/gorilla/gorilla_10756.jpg
otter,35,JPEGImages/otter/otter_10150.jpg
tiger,12,JPEGImages/tiger/tiger_10259.jpg
lion,42,JPEGImages/lion/lion_10122.jpg
tiger,12,JPEGImages/tiger/tiger_10853.jpg
seal,23,JPEGImages/seal/seal_10707.jpg
zebra,37,JPEGImages/zebra/zebra_10714.jpg
gorilla,19,JPEGImages/gorilla/gorilla_10045.jpg
german shepherd,7,JPEGImages/german+shepherd/german+shepherd_10328.jpg
buffalo,36,JPEGImages/buffalo/buffalo_10139.jpg
leopard,14,JPEGImages/leopard/leopard_10638.jpg
tiger,12,JPEGImages/tiger/tiger_10864.jpg
antelope,0,JPEGImages/antelope/antelope_10437.jpg
otter,35,JPEGImages/otter/otter_10757.jpg
siamese cat,9,JPEGImages/siamese+cat/siamese+cat_10243.jpg
hamster,25,JPEGImages/hamster/hamster_10346.jpg
leopard,14,JPEGImages/leopard/leopard_10328.jpg
elephant,18,JPEGImages/elephant/elephant_10481.jpg
cow,48,JPEGImages/cow/cow_10799.jpg
seal,23,JPEGImages/seal/seal_10334.jpg
bat,29,JPEGImages/bat/bat_10333.jpg
dolphin,49,JPEGImages/dolphin/dolphin_10734.jpg
sheep,22,JPEGImages/sheep/sheep_10457.jpg
collie,45,JPEGImages/collie/collie_10942.jpg
buffalo,36,JPEGImages/buffalo/buffalo_10312.jpg
bat,29,JPEGImages/bat/bat_10047.jpg
sheep,22,JPEGImages/sheep/sheep_11418.jpg
hippopotamus,13,JPEGImages/hippopotamus/hippopotamus_10265.jpg
german shepherd,7,JPEGImages/german+shepherd/german+shepherd_10210.jpg
cow,48,JPEGImages/cow/cow_10187.jpg
moose,15,JPEGImages/moose/moose_10698.jpg
horse,6,JPEGImages/horse/horse_11416.jpg
ox,20,JPEGImages/ox/ox_10641.jpg
otter,35,JPEGImages/otter/otter_10194.jpg
dalmatian,4,JPEGImages/dalmatian/dalmatian_10207.jpg
german shepherd,7,JPEGImages/german+shepherd/german+shepherd_10109.jpg
zebra,37,JPEGImages/zebra/zebra_10305.jpg
horse,6,JPEGImages/horse/horse_10893.jpg
sheep,22,JPEGImages/sheep/sheep_11031.jpg
dolphin,49,JPEGImages/dolphin/dolphin_10588.jpg
dalmatian,4,JPEGImages/dalmatian/dalmatian_10204.jpg
sheep,22,JPEGImages/sheep/sheep_10527.jpg
dolphin,49,JPEGImages/dolphin/dolphin_10763.jpg
hamster,25,JPEGImages/hamster/hamster_10085.jpg
humpback whale,17,JPEGImages/humpback+whale/humpback+whale_10630.jpg
cow,48,JPEGImages/cow/cow_10477.jpg
siamese cat,9,JPEGImages/siamese+cat/siamese+cat_10146.jpg
dolphin,49,JPEGImages/dolphin/dolphin_10337.jpg
antelope,0,JPEGImages/antelope/antelope_10987.jpg
tiger,12,JPEGImages/tiger/tiger_10490.jpg
chihuahua,32,JPEGImages/chihuahua/chihuahua_10127.jpg
fox,21,JPEGImages/fox/fox_10328.jpg
chihuahua,32,JPEGImages/chihuahua/chihuahua_10118.jpg
seal,23,JPEGImages/seal/seal_10908.jpg
buffalo,36,JPEGImages/buffalo/buffalo_10271.jpg
lion,42,JPEGImages/lion/lion_10612.jpg
seal,23,JPEGImages/seal/seal_10399.jpg
siamese cat,9,JPEGImages/siamese+cat/siamese+cat_10421.jpg
buffalo,36,JPEGImages/buffalo/buffalo_10170.jpg
lion,42,JPEGImages/lion/lion_10383.jpg
fox,21,JPEGImages/fox/fox_10403.jpg
gorilla,19,JPEGImages/gorilla/gorilla_10215.jpg
rabbit,28,JPEGImages/rabbit/rabbit_10399.jpg
giraffe,30,JPEGImages/giraffe/giraffe_10301.jpg
deer,39,JPEGImages/deer/deer_10266.jpg
gorilla,19,JPEGImages/gorilla/gorilla_10845.jpg
horse,6,JPEGImages/horse/horse_10856.jpg
elephant,18,JPEGImages/elephant/elephant_10956.jpg
sheep,22,JPEGImages/sheep/sheep_10413.jpg
collie,45,JPEGImages/collie/collie_10563.jpg
dalmatian,4,JPEGImages/dalmatian/dalmatian_10502.jpg
elephant,18,JPEGImages/elephant/elephant_10793.jpg
gorilla,19,JPEGImages/gorilla/gorilla_10411.jpg
hamster,25,JPEGImages/hamster/hamster_10322.jpg
leopard,14,JPEGImages/leopard/leopard_10573.jpg
ox,20,JPEGImages/ox/ox_10147.jpg
ox,20,JPEGImages/ox/ox_10054.jpg
collie,45,JPEGImages/collie/collie_10846.jpg
sheep,22,JPEGImages/sheep/sheep_10051.jpg
lion,42,JPEGImages/lion/lion_10849.jpg
humpback whale,17,JPEGImages/humpback+whale/humpback+whale_10192.jpg
zebra,37,JPEGImages/zebra/zebra_10675.jpg
zebra,37,JPEGImages/zebra/zebra_11148.jpg
rhinoceros,27,JPEGImages/rhinoceros/rhinoceros_10041.jpg
grizzly bear,1,JPEGImages/grizzly+bear/grizzly+bear_10758.jpg
zebra,37,JPEGImages/zebra/zebra_10270.jpg
elephant,18,JPEGImages/elephant/elephant_10852.jpg
elephant,18,JPEGImages/elephant/elephant_10421.jpg
zebra,37,JPEGImages/zebra/zebra_11012.jpg
rabbit,28,JPEGImages/rabbit/rabbit_10282.jpg
seal,23,JPEGImages/seal/seal_10905.jpg
persian cat,5,JPEGImages/persian+cat/persian+cat_10154.jpg
horse,6,JPEGImages/horse/horse_11265.jpg
seal,23,JPEGImages/seal/seal_10539.jpg
zebra,37,JPEGImages/zebra/zebra_10761.jpg
leopard,14,JPEGImages/leopard/leopard_10490.jpg
fox,21,JPEGImages/fox/fox_10099.jpg
gorilla,19,JPEGImages/gorilla/gorilla_10154.jpg
cow,48,JPEGImages/cow/cow_11165.jpg
ox,20,JPEGImages/ox/ox_10511.jpg
chihuahua,32,JPEGImages/chihuahua/chihuahua_10525.jpg
spider monkey,16,JPEGImages/spider+monkey/spider+monkey_10283.jpg
cow,48,JPEGImages/cow/cow_10864.jpg
weasel,34,JPEGImages/weasel/weasel_10172.jpg
lion,42,JPEGImages/lion/lion_10050.jpg
dalmatian,4,JPEGImages/dalmatian/dalmatian_10348.jpg
raccoon,47,JPEGImages/raccoon/raccoon_10066.jpg
lion,42,JPEGImages/lion/lion_10192.jpg
hamster,25,JPEGImages/hamster/hamster_10300.jpg
deer,39,JPEGImages/deer/deer_10367.jpg
leopard,14,JPEGImages/leopard/leopard_10241.jpg
rhinoceros,27,JPEGImages/rhinoceros/rhinoceros_10397.jpg
elephant,18,JPEGImages/elephant/elephant_10885.jpg
weasel,34,JPEGImages/weasel/weasel_10203.jpg
bobcat,40,JPEGImages/bobcat/bobcat_10479.jpg
leopard,14,JPEGImages/leopard/leopard_10710.jpg
wolf,31,JPEGImages/wolf/wolf_10303.jpg
bat,29,JPEGImages/bat/bat_10359.jpg
polar bear,44,JPEGImages/polar+bear/polar+bear_10555.jpg
giraffe,30,JPEGImages/giraffe/giraffe_11196.jpg
leopard,14,JPEGImages/leopard/leopard_10218.jpg
giraffe,30,JPEGImages/giraffe/giraffe_10037.jpg
dolphin,49,JPEGImages/dolphin/dolphin_10791.jpg
tiger,12,JPEGImages/tiger/tiger_10549.jpg
buffalo,36,JPEGImages/buffalo/buffalo_10352.jpg
humpback whale,17,JPEGImages/humpback+whale/humpback+whale_10226.jpg
antelope,0,JPEGImages/antelope/antelope_10811.jpg
polar bear,44,JPEGImages/polar+bear/polar+bear_10387.jpg
buffalo,36,JPEGImages/buffalo/buffalo_10632.jpg
lion,42,JPEGImages/lion/lion_10145.jpg
beaver,3,JPEGImages/beaver/beaver_10179.jpg
beaver,3,JPEGImages/beaver/beaver_10123.jpg
persian cat,5,JPEGImages/persian+cat/persian+cat_10572.jpg
giant panda,38,JPEGImages/giant+panda/giant+panda_10464.jpg
moose,15,JPEGImages/moose/moose_10606.jpg
dolphin,49,JPEGImages/dolphin/dolphin_10529.jpg
humpback whale,17,JPEGImages/humpback+whale/humpback+whale_10469.jpg
raccoon,47,JPEGImages/raccoon/raccoon_10063.jpg
tiger,12,JPEGImages/tiger/tiger_10642.jpg
grizzly bear,1,JPEGImages/grizzly+bear/grizzly+bear_10265.jpg
sheep,22,JPEGImages/sheep/sheep_10889.jpg
moose,15,JPEGImages/moose/moose_10139.jpg
deer,39,JPEGImages/deer/deer_10341.jpg
polar bear,44,JPEGImages/polar+bear/polar+bear_10798.jpg
buffalo,36,JPEGImages/buffalo/buffalo_10213.jpg
horse,6,JPEGImages/horse/horse_10971.jpg
dolphin,49,JPEGImages/dolphin/dolphin_10818.jpg
elephant,18,JPEGImages/elephant/elephant_10341.jpg
dolphin,49,JPEGImages/dolphin/dolphin_10451.jpg
antelope,0,JPEGImages/antelope/antelope_10061.jpg
chihuahua,32,JPEGImages/chihuahua/chihuahua_10409.jpg
bobcat,40,JPEGImages/bobcat/bobcat_10613.jpg
tiger,12,JPEGImages/tiger/tiger_10063.jpg
tiger,12,JPEGImages/tiger/tiger_10829.jpg
cow,48,JPEGImages/cow/cow_10489.jpg
rhinoceros,27,JPEGImages/rhinoceros/rhinoceros_10438.jpg
dolphin,49,JPEGImages/dolphin/dolphin_10357.jpg
deer,39,JPEGImages/deer/deer_10315.jpg
otter,35,JPEGImages/otter/otter_10259.jpg
humpback whale,17,JPEGImages/humpback+whale/humpback+whale_10548.jpg
zebra,37,JPEGImages/zebra/zebra_10193.jpg
tiger,12,JPEGImages/tiger/tiger_10343.jpg
mole,11,JPEGImages/mole/mole_10030.jpg
rabbit,28,JPEGImages/rabbit/rabbit_11016.jpg
beaver,3,JPEGImages/beaver/beaver_10163.jpg
raccoon,47,JPEGImages/raccoon/raccoon_10145.jpg
giraffe,30,JPEGImages/giraffe/giraffe_10810.jpg
horse,6,JPEGImages/horse/horse_10794.jpg
ox,20,JPEGImages/ox/ox_10106.jpg
grizzly bear,1,JPEGImages/grizzly+bear/grizzly+bear_10646.jpg
otter,35,JPEGImages/otter/otter_10548.jpg
persian cat,5,JPEGImages/persian+cat/persian+cat_10255.jpg
cow,48,JPEGImages/cow/cow_10269.jpg
horse,6,JPEGImages/horse/horse_10388.jpg
rabbit,28,JPEGImages/rabbit/rabbit_10633.jpg
persian cat,5,JPEGImages/persian+cat/persian+cat_10496.jpg
sheep,22,JPEGImages/sheep/sheep_10805.jpg
leopard,14,JPEGImages/leopard/leopard_10704.jpg
seal,23,JPEGImages/seal/seal_10917.jpg
dolphin,49,JPEGImages/dolphin/dolphin_10722.jpg
ox,20,JPEGImages/ox/ox_10509.jpg
horse,6,JPEGImages/horse/horse_10564.jpg
elephant,18,JPEGImages/elephant/elephant_10369.jpg
tiger,12,JPEGImages/tiger/tiger_10832.jpg
squirrel,26,JPEGImages/squirrel/squirrel_10930.jpg
bat,29,JPEGImages/bat/bat_10150.jpg
dolphin,49,JPEGImages/dolphin/dolphin_10857.jpg
lion,42,JPEGImages/lion/lion_10737.jpg
cow,48,JPEGImages/cow/cow_10926.jpg
horse,6,JPEGImages/horse/horse_10509.jpg
gorilla,19,JPEGImages/gorilla/gorilla_10586.jpg
mouse,43,JPEGImages/mouse/mouse_10152.jpg
gorilla,19,JPEGImages/gorilla/gorilla_10542.jpg
cow,48,JPEGImages/cow/cow_10813.jpg
buffalo,36,JPEGImages/buffalo/buffalo_10095.jpg
bobcat,40,JPEGImages/bobcat/bobcat_10586.jpg
weasel,34,JPEGImages/weasel/weasel_10234.jpg
horse,6,JPEGImages/horse/horse_11619.jpg
german shepherd,7,JPEGImages/german+shepherd/german+shepherd_10471.jpg
moose,15,JPEGImages/moose/moose_10228.jpg
wolf,31,JPEGImages/wolf/wolf_10425.jpg
fox,21,JPEGImages/fox/fox_10493.jpg
squirrel,26,JPEGImages/squirrel/squirrel_10622.jpg
collie,45,JPEGImages/collie/collie_10660.jpg
hamster,25,JPEGImages/hamster/hamster_10141.jpg
collie,45,JPEGImages/collie/collie_10079.jpg
rabbit,28,JPEGImages/rabbit/rabbit_10954.jpg
collie,45,JPEGImages/collie/collie_10611.jpg
deer,39,JPEGImages/deer/deer_11149.jpg
rabbit,28,JPEGImages/rabbit/rabbit_10046.jpg
elephant,18,JPEGImages/elephant/elephant_10273.jpg
sheep,22,JPEGImages/sheep/sheep_10861.jpg
antelope,0,JPEGImages/antelope/antelope_10488.jpg
giraffe,30,JPEGImages/giraffe/giraffe_10035.jpg
elephant,18,JPEGImages/elephant/elephant_10526.jpg
hamster,25,JPEGImages/hamster/hamster_10362.jpg
collie,45,JPEGImages/collie/collie_10624.jpg
walrus,46,JPEGImages/walrus/walrus_10192.jpg
otter,35,JPEGImages/otter/otter_10095.jpg
gorilla,19,JPEGImages/gorilla/gorilla_10652.jpg
german shepherd,7,JPEGImages/german+shepherd/german+shepherd_10546.jpg
siamese cat,9,JPEGImages/siamese+cat/siamese+cat_10309.jpg
chimpanzee,24,JPEGImages/chimpanzee/chimpanzee_10613.jpg
bobcat,40,JPEGImages/bobcat/bobcat_10145.jpg
bobcat,40,JPEGImages/bobcat/bobcat_10530.jpg
wolf,31,JPEGImages/wolf/wolf_10323.jpg
buffalo,36,JPEGImages/buffalo/buffalo_10563.jpg
otter,35,JPEGImages/otter/otter_10513.jpg
zebra,37,JPEGImages/zebra/zebra_10018.jpg
lion,42,JPEGImages/lion/lion_10721.jpg
seal,23,JPEGImages/seal/seal_10553.jpg
deer,39,JPEGImages/deer/deer_11162.jpg
ox,20,JPEGImages/ox/ox_10221.jpg
squirrel,26,JPEGImages/squirrel/squirrel_10705.jpg
seal,23,JPEGImages/seal/seal_10114.jpg
giraffe,30,JPEGImages/giraffe/giraffe_10584.jpg
leopard,14,JPEGImages/leopard/leopard_10285.jpg
tiger,12,JPEGImages/tiger/tiger_10576.jpg
blue whale,8,JPEGImages/blue+whale/blue+whale_10166.jpg
otter,35,JPEGImages/otter/otter_10216.jpg
fox,21,JPEGImages/fox/fox_10002.jpg
leopard,14,JPEGImages/leopard/leopard_10099.jpg
collie,45,JPEGImages/collie/collie_10444.jpg
dolphin,49,JPEGImages/dolphin/dolphin_10641.jpg
horse,6,JPEGImages/horse/horse_10445.jpg
grizzly bear,1,JPEGImages/grizzly+bear/grizzly+bear_10289.jpg
leopard,14,JPEGImages/leopard/leopard_10477.jpg
giant panda,38,JPEGImages/giant+panda/giant+panda_10726.jpg
sheep,22,JPEGImages/sheep/sheep_10705.jpg
humpback whale,17,JPEGImages/humpback+whale/humpback+whale_10403.jpg
deer,39,JPEGImages/deer/deer_10695.jpg
fox,21,JPEGImages/fox/fox_10352.jpg
chimpanzee,24,JPEGImages/chimpanzee/chimpanzee_10418.jpg
deer,39,JPEGImages/deer/deer_10365.jpg
polar bear,44,JPEGImages/polar+bear/polar+bear_10202.jpg
polar bear,44,JPEGImages/polar+bear/polar+bear_10608.jpg
leopard,14,JPEGImages/leopard/leopard_10426.jpg
hamster,25,JPEGImages/hamster/hamster_10071.jpg
collie,45,JPEGImages/collie/collie_10021.jpg
german shepherd,7,JPEGImages/german+shepherd/german+shepherd_10279.jpg
tiger,12,JPEGImages/tiger/tiger_10281.jpg
squirrel,26,JPEGImages/squirrel/squirrel_10635.jpg
leopard,14,JPEGImages/leopard/leopard_10489.jpg
grizzly bear,1,JPEGImages/grizzly+bear/grizzly+bear_10325.jpg
squirrel,26,JPEGImages/squirrel/squirrel_10456.jpg
squirrel,26,JPEGImages/squirrel/squirrel_10360.jpg
hamster,25,JPEGImages/hamster/hamster_10734.jpg
giant panda,38,JPEGImages/giant+panda/giant+panda_10037.jpg
german shepherd,7,JPEGImages/german+shepherd/german+shepherd_10683.jpg
elephant,18,JPEGImages/elephant/elephant_10016.jpg
hippopotamus,13,JPEGImages/hippopotamus/hippopotamus_10216.jpg
cow,48,JPEGImages/cow/cow_10266.jpg
mole,11,JPEGImages/mole/mole_10028.jpg
german shepherd,7,JPEGImages/german+shepherd/german+shepherd_10082.jpg
rhinoceros,27,JPEGImages/rhinoceros/rhinoceros_10174.jpg
seal,23,JPEGImages/seal/seal_10574.jpg
german shepherd,7,JPEGImages/german+shepherd/german+shepherd_10585.jpg
gorilla,19,JPEGImages/gorilla/gorilla_10581.jpg
rabbit,28,JPEGImages/rabbit/rabbit_11009.jpg
moose,15,JPEGImages/moose/moose_10379.jpg
deer,39,JPEGImages/deer/deer_10946.jpg
sheep,22,JPEGImages/sheep/sheep_10108.jpg
lion,42,JPEGImages/lion/lion_10116.jpg
giant panda,38,JPEGImages/giant+panda/giant+panda_10341.jpg
skunk,10,JPEGImages/skunk/skunk_10060.jpg
chihuahua,32,JPEGImages/chihuahua/chihuahua_10404.jpg
rabbit,28,JPEGImages/rabbit/rabbit_10138.jpg
dolphin,49,JPEGImages/dolphin/dolphin_10536.jpg
antelope,0,JPEGImages/antelope/antelope_10749.jpg
giraffe,30,JPEGImages/giraffe/giraffe_11064.jpg
horse,6,JPEGImages/horse/horse_10039.jpg
skunk,10,JPEGImages/skunk/skunk_10041.jpg
german shepherd,7,JPEGImages/german+shepherd/german+shepherd_10975.jpg
dolphin,49,JPEGImages/dolphin/dolphin_10899.jpg
horse,6,JPEGImages/horse/horse_11122.jpg
giant panda,38,JPEGImages/giant+panda/giant+panda_10102.jpg
antelope,0,JPEGImages/antelope/antelope_11035.jpg
lion,42,JPEGImages/lion/lion_10609.jpg
leopard,14,JPEGImages/leopard/leopard_10347.jpg
seal,23,JPEGImages/seal/seal_10619.jpg
squirrel,26,JPEGImages/squirrel/squirrel_10408.jpg
rhinoceros,27,JPEGImages/rhinoceros/rhinoceros_10493.jpg
collie,45,JPEGImages/collie/collie_10237.jpg
seal,23,JPEGImages/seal/seal_10299.jpg
wolf,31,JPEGImages/wolf/wolf_10116.jpg
giraffe,30,JPEGImages/giraffe/giraffe_10215.jpg
german shepherd,7,JPEGImages/german+shepherd/german+shepherd_10116.jpg
lion,42,JPEGImages/lion/lion_10202.jpg
polar bear,44,JPEGImages/polar+bear/polar+bear_10014.jpg
bobcat,40,JPEGImages/bobcat/bobcat_10101.jpg
elephant,18,JPEGImages/elephant/elephant_10958.jpg
sheep,22,JPEGImages/sheep/sheep_10939.jpg
wolf,31,JPEGImages/wolf/wolf_10461.jpg
hamster,25,JPEGImages/hamster/hamster_10160.jpg
horse,6,JPEGImages/horse/horse_10754.jpg
elephant,18,JPEGImages/elephant/elephant_10646.jpg
deer,39,JPEGImages/deer/deer_10683.jpg
rabbit,28,JPEGImages/rabbit/rabbit_10836.jpg
deer,39,JPEGImages/deer/deer_10106.jpg
walrus,46,JPEGImages/walrus/walrus_10025.jpg
hamster,25,JPEGImages/hamster/hamster_10557.jpg
rhinoceros,27,JPEGImages/rhinoceros/rhinoceros_10199.jpg
persian cat,5,JPEGImages/persian+cat/persian+cat_10017.jpg
lion,42,JPEGImages/lion/lion_10525.jpg
dolphin,49,JPEGImages/dolphin/dolphin_10698.jpg
persian cat,5,JPEGImages/persian+cat/persian+cat_10298.jpg
dalmatian,4,JPEGImages/dalmatian/dalmatian_10150.jpg
elephant,18,JPEGImages/elephant/elephant_10391.jpg
spider monkey,16,JPEGImages/spider+monkey/spider+monkey_10184.jpg
fox,21,JPEGImages/fox/fox_10040.jpg
rhinoceros,27,JPEGImages/rhinoceros/rhinoceros_10499.jpg
elephant,18,JPEGImages/elephant/elephant_10376.jpg
cow,48,JPEGImages/cow/cow_10954.jpg
seal,23,JPEGImages/seal/seal_10407.jpg
deer,39,JPEGImages/deer/deer_10668.jpg
antelope,0,JPEGImages/antelope/antelope_10221.jpg
polar bear,44,JPEGImages/polar+bear/polar+bear_10366.jpg
weasel,34,JPEGImages/weasel/weasel_10144.jpg
giraffe,30,JPEGImages/giraffe/giraffe_10489.jpg
lion,42,JPEGImages/lion/lion_10904.jpg
deer,39,JPEGImages/deer/deer_10739.jpg
polar bear,44,JPEGImages/polar+bear/polar+bear_10028.jpg
tiger,12,JPEGImages/tiger/tiger_10217.jpg
wolf,31,JPEGImages/wolf/wolf_10361.jpg
squirrel,26,JPEGImages/squirrel/squirrel_10917.jpg
polar bear,44,JPEGImages/polar+bear/polar+bear_10327.jpg
polar bear,44,JPEGImages/polar+bear/polar+bear_10305.jpg
polar bear,44,JPEGImages/polar+bear/polar+bear_10556.jpg
wolf,31,JPEGImages/wolf/wolf_10212.jpg
walrus,46,JPEGImages/walrus/walrus_10175.jpg
sheep,22,JPEGImages/sheep/sheep_10157.jpg
collie,45,JPEGImages/collie/collie_10164.jpg
rabbit,28,JPEGImages/rabbit/rabbit_10495.jpg
horse,6,JPEGImages/horse/horse_11568.jpg
antelope,0,JPEGImages/antelope/antelope_10023.jpg
leopard,14,JPEGImages/leopard/leopard_10171.jpg
squirrel,26,JPEGImages/squirrel/squirrel_10049.jpg
lion,42,JPEGImages/lion/lion_10112.jpg
