class,label,concept
"common newt, Triturus vulgaris",12,a log
"common newt, Triturus vulgaris",12,"a small, lightweight body"
"common newt, Triturus vulgaris",12,reptile
"common newt, Triturus vulgaris",12,"a moist, smooth skin"
"common newt, Triturus vulgaris",12,a rock
"common newt, Triturus vulgaris",12,four legs
"tench, Tinca tinca",13,"a long, thick tail"
"tench, Tinca tinca",13,a bait
"tench, Tinca tinca",13,large fins
"tench, Tinca tinca",13,a animal
"tench, Tinca tinca",13,vertebrate
"tench, Tinca tinca",13,a stocky body
"tench, Tinca tinca",13,a net
"tench, Tinca tinca",13,large scales
"tench, Tinca tinca",13,barbels around the mouth
"tench, Tinca tinca",13,a large mouth
"tench, Tinca tinca",13,"a long, blunt head"
"tench, Tinca tinca",13,a reel
"tench, Tinca tinca",13,a rod
"tench, Tinca tinca",13,a pond
"tench, Tinca tinca",13,a fish
"tench, Tinca tinca",13,a dark olive-brown coloration
"tench, Tinca tinca",13,a green or brown body
"tench, Tinca tinca",13,"a large, oval-shaped body"
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",14,living thing
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",14,vertebrate
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",14,a long beak
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",14,a nut
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",14,yellow feet
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",14,a fruit
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",14,a tree
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",14,"a high, shrill call"
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",14,a perch
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",14,"a large, white bird"
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",14,"a long, thin beak"
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",14,animal
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",14,"large, dark eyes"
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",14,a baby cockatoo
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",14,a mate
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",14,a branch
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",14,a nest
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",14,a lot of noise
"white stork, Ciconia ciconia",15,a animal
"white stork, Ciconia ciconia",15,a large size
"white stork, Ciconia ciconia",15,a tree
"white stork, Ciconia ciconia",15,a field
"white stork, Ciconia ciconia",15,a baby stork
"white stork, Ciconia ciconia",15,insects
"white stork, Ciconia ciconia",15,a sky
"white stork, Ciconia ciconia",15,"a long, curved neck"
"white stork, Ciconia ciconia",15,white feathers
"white stork, Ciconia ciconia",15,"a long, thin neck"
"white stork, Ciconia ciconia",15,black plumage
"white stork, Ciconia ciconia",15,"long, red legs"
"white stork, Ciconia ciconia",15,"long, arms and legs"
"white stork, Ciconia ciconia",15,a nest
"white stork, Ciconia ciconia",15,a medium-sized body
"white stork, Ciconia ciconia",15,vertebrate
"white stork, Ciconia ciconia",15,a long beak
"white stork, Ciconia ciconia",15,a baby
"white stork, Ciconia ciconia",15,"long, orange beak"
terrapin,16,"a brown, black, or green color"
terrapin,16,a animal
terrapin,16,a net
terrapin,16,a small to medium size
terrapin,16,"a small, hard shell"
terrapin,16,"a long, thick tail"
terrapin,16,"a long, slender neck"
terrapin,16,a fishing rod
terrapin,16,a turtle
terrapin,16,a reel
terrapin,16,a rod
terrapin,16,a hard shell
terrapin,16,a bait bucket
terrapin,16,reptile
terrapin,16,four legs
terrapin,16,"short, front legs"
terrapin,16,bait
terrapin,16,a fishing line
terrapin,16,a small head
terrapin,16,a pond
"diamondback, diamondback rattlesnake, Crotalus adamanteus",17,a rattle
"diamondback, diamondback rattlesnake, Crotalus adamanteus",17,"a long, thick tail"
"diamondback, diamondback rattlesnake, Crotalus adamanteus",17,a white belly
"diamondback, diamondback rattlesnake, Crotalus adamanteus",17,a medium-sized body
"diamondback, diamondback rattlesnake, Crotalus adamanteus",17,vertebrate
"diamondback, diamondback rattlesnake, Crotalus adamanteus",17,sand
"diamondback, diamondback rattlesnake, Crotalus adamanteus",17,rocks
"diamondback, diamondback rattlesnake, Crotalus adamanteus",17,a give
"diamondback, diamondback rattlesnake, Crotalus adamanteus",17,a diamond-patterned back
"diamondback, diamondback rattlesnake, Crotalus adamanteus",17,animal
"diamondback, diamondback rattlesnake, Crotalus adamanteus",17,a venom
"diamondback, diamondback rattlesnake, Crotalus adamanteus",17,"a brown, gray, or olive color"
"diamondback, diamondback rattlesnake, Crotalus adamanteus",17,a hole
"diamondback, diamondback rattlesnake, Crotalus adamanteus",17,reptile
"diamondback, diamondback rattlesnake, Crotalus adamanteus",17,a desert
"diamondback, diamondback rattlesnake, Crotalus adamanteus",17,a strike
"diamondback, diamondback rattlesnake, Crotalus adamanteus",17,a brown or white color
"flatworm, platyhelminth",18,a animal
"flatworm, platyhelminth",18,"a small, flattened body"
"flatworm, platyhelminth",18,"a large, oval shape"
"flatworm, platyhelminth",18,variable colors
"flatworm, platyhelminth",18,in the soil
"flatworm, platyhelminth",18,worm
"flatworm, platyhelminth",18,in water
"flatworm, platyhelminth",18,rocks
"flatworm, platyhelminth",18,leaves
"flatworm, platyhelminth",18,a tweezers
"flatworm, platyhelminth",18,"a long, slender shape"
"flatworm, platyhelminth",18,a wormy appearance
"flatworm, platyhelminth",18,no legs
"flatworm, platyhelminth",18,"a small, pointed tail"
"flatworm, platyhelminth",18,"a small, segmented body"
"flatworm, platyhelminth",18,a small mouth
"flatworm, platyhelminth",18,dirt
"flatworm, platyhelminth",18,no head or limbs
"flatworm, platyhelminth",18,invertebrate
"flatworm, platyhelminth",18,on a plant
"flatworm, platyhelminth",18,under a rock
"flatworm, platyhelminth",18,on an animal
sea snake,19,hollow fangs
sea snake,19,a human
sea snake,19,a net
sea snake,19,sand
sea snake,19,rocks
sea snake,19,the sea
sea snake,19,"a long, forked tongue"
sea snake,19,a pointed face
sea snake,19,seaweed
sea snake,19,a white color
sea snake,19,animal
sea snake,19,a venomous bite
sea snake,19,a fish
sea snake,19,"a long, thin body"
sea snake,19,reptile
sea snake,19,the ocean
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,a bait
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,a animal
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,a stream
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,a net
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,"two small, compound eyes"
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,five pairs of legs
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,"a small, crab-like body"
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,two large claws
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,a large pair of pincers
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,rocks
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,a fishing rod
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,"two long, antennae"
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,a human
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,bait
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,"a long, curved body"
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,"a hard, protective outer shell"
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,invertebrate
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,a river
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,a pond
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,"two long, feeler-like antennae"
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,arthropod
"green snake, grass snake",21,a branch
"green snake, grass snake",21,a animal
"green snake, grass snake",21,no legs
"green snake, grass snake",21,no patterns or markings
"green snake, grass snake",21,a tree
"green snake, grass snake",21,"a long, forked tongue"
"green snake, grass snake",21,a pointed face
"green snake, grass snake",21,a small head at the other end
"green snake, grass snake",21,a bright green color
"green snake, grass snake",21,a leaves
"green snake, grass snake",21,a grass
"green snake, grass snake",21,a person
"green snake, grass snake",21,a woods
"green snake, grass snake",21,"a small, oblong shape"
"green snake, grass snake",21,"a smooth, green skin"
"green snake, grass snake",21,reptile
"green snake, grass snake",21,smooth scales
"bald eagle, American eagle, Haliaeetus leucocephalus",22,a animal
"bald eagle, American eagle, Haliaeetus leucocephalus",22,vertebrate
"bald eagle, American eagle, Haliaeetus leucocephalus",22,sharp talons and beak
"bald eagle, American eagle, Haliaeetus leucocephalus",22,"a long, sharp beak"
"bald eagle, American eagle, Haliaeetus leucocephalus",22,a flag
"bald eagle, American eagle, Haliaeetus leucocephalus",22,a tree
"bald eagle, American eagle, Haliaeetus leucocephalus",22,a white head and tail
"bald eagle, American eagle, Haliaeetus leucocephalus",22,a lake
"bald eagle, American eagle, Haliaeetus leucocephalus",22,eggs
"bald eagle, American eagle, Haliaeetus leucocephalus",22,a river
"bald eagle, American eagle, Haliaeetus leucocephalus",22,the United States
"bald eagle, American eagle, Haliaeetus leucocephalus",22,"a large, muscular body"
"bald eagle, American eagle, Haliaeetus leucocephalus",22,yellow eyes
"bald eagle, American eagle, Haliaeetus leucocephalus",22,a nest
"bald eagle, American eagle, Haliaeetus leucocephalus",22,a dark brown body
"bald eagle, American eagle, Haliaeetus leucocephalus",22,large wings
kite,23,pointed wings
kite,23,a animal
kite,23,a kite stick
kite,23,a tree
kite,23,a field
kite,23,a windy day
kite,23,a kite string
kite,23,powerful wings
kite,23,strong legs
kite,23,a sky
kite,23,a hooked beak
kite,23,good eyesight
kite,23,talons
kite,23,a human
kite,23,a hooked bill
kite,23,a light body
kite,23,a string
kite,23,"a small, oblong shape"
kite,23,a predator
"goldfish, Carassius auratus",24,"a long, thick tail"
"goldfish, Carassius auratus",24,a water filter
"goldfish, Carassius auratus",24,a human
"goldfish, Carassius auratus",24,a bait
"goldfish, Carassius auratus",24,vertebrate
"goldfish, Carassius auratus",24,"a small, round shape"
"goldfish, Carassius auratus",24,orange fins
"goldfish, Carassius auratus",24,a decoration
"goldfish, Carassius auratus",24,a net
"goldfish, Carassius auratus",24,a fishbowl
"goldfish, Carassius auratus",24,a plant
"goldfish, Carassius auratus",24,animal
"goldfish, Carassius auratus",24,a reel
"goldfish, Carassius auratus",24,fish food
"goldfish, Carassius auratus",24,a fish
"goldfish, Carassius auratus",24,a rod
"goldfish, Carassius auratus",24,a small mouth
"goldfish, Carassius auratus",24,fish
scorpion,25,"a long, thick tail"
scorpion,25,a human
scorpion,25,arachnid
scorpion,25,"two small, compound eyes"
scorpion,25,sand
scorpion,25,rocks
scorpion,25,a large pair of pincers
scorpion,25,five pairs of legs
scorpion,25,eight legs
scorpion,25,animal
scorpion,25,a cactus
scorpion,25,"a long, slender shape"
scorpion,25,a desert animal
scorpion,25,a lizard
scorpion,25,a desert
scorpion,25,arthropod
goose,26,a human
goose,26,"a long, black neck"
goose,26,a animal
goose,26,vertebrate
goose,26,"a small, round shape"
goose,26,a field
goose,26,eggs
goose,26,a dog
goose,26,a pond
goose,26,a bill
goose,26,grass
goose,26,a nest
goose,26,a gander
goose,26,a webbed foot
goose,26,"a small, plump body"
bulbul,27,"a long, thick tail"
bulbul,27,a animal
bulbul,27,a short beak
bulbul,27,vertebrate
bulbul,27,a leaf
bulbul,27,"a long, thin neck"
bulbul,27,leaves
bulbul,27,a tree
bulbul,27,eggs
bulbul,27,brown and white plumage
bulbul,27,yellow eyes
bulbul,27,bright plumage
bulbul,27,a branch
bulbul,27,a nest
bulbul,27,"a small, rounded body"
chickadee,28,trees
chickadee,28,grayish upperparts
chickadee,28,vertebrate
chickadee,28,a short beak
chickadee,28,white cheeks
chickadee,28,chordate
chickadee,28,gray wings and back
chickadee,28,a animal
chickadee,28,leaves
chickadee,28,"a small, round shape"
chickadee,28,insects
chickadee,28,a woods
chickadee,28,white underparts
chickadee,28,a white cheek
chickadee,28,a bird feeder
chickadee,28,bird seed
chickadee,28,a black cap and bib
chickadee,28,bushes
"sea anemone, anemone",29,attached to a surface
"sea anemone, anemone",29,a animal
"sea anemone, anemone",29,a sedentary lifestyle
"sea anemone, anemone",29,a shrimp
"sea anemone, anemone",29,a rock
"sea anemone, anemone",29,rocks
"sea anemone, anemone",29,a central mouth
"sea anemone, anemone",29,a variety of colors
"sea anemone, anemone",29,a fish
"sea anemone, anemone",29,seaweed
"sea anemone, anemone",29,the ocean
"sea anemone, anemone",29,cnidarian
"sea anemone, anemone",29,"a small, oblong shape"
"sea anemone, anemone",29,a water
"sea anemone, anemone",29,usually found in shallow water
"sea anemone, anemone",29,invertebrate
"sea anemone, anemone",29,a soft body
"sea anemone, anemone",29,tentacles
"sea anemone, anemone",29,echinoderm
magpie,30,black legs
magpie,30,a worm
magpie,30,feathers at the other end
magpie,30,a human
magpie,30,small size
magpie,30,"a long, curved beak"
magpie,30,a tree
magpie,30,a black and white color scheme
magpie,30,insects
magpie,30,a field
magpie,30,"a long, thin beak"
magpie,30,animal
magpie,30,a bird feeder
magpie,30,"loud, harsh call"
magpie,30,a slender body
magpie,30,"a long, feathered tail"
magpie,30,a nest
mud turtle,31,a animal
mud turtle,31,mud
mud turtle,31,a grass
mud turtle,31,water
mud turtle,31,a log
mud turtle,31,a webbed foot
mud turtle,31,"a long, thick tail"
mud turtle,31,"a long, slender neck"
mud turtle,31,rocks
mud turtle,31,a shell
mud turtle,31,a turtle
mud turtle,31,a hard shell
mud turtle,31,reptile
mud turtle,31,a stone
mud turtle,31,"a horny, beak-like mouth"
mud turtle,31,"short, front legs"
mud turtle,31,"a small, dark-colored body"
mud turtle,31,a plant
mud turtle,31,a small head at the other end
mud turtle,31,a pond
mud turtle,31,"a small, brown shell"
centipede,32,a human
centipede,32,"a small, round shape"
centipede,32,rocks
centipede,32,invertebrate
centipede,32,leaves
centipede,32,a garden
centipede,32,insects
centipede,32,usually found outdoors
centipede,32,animal
centipede,32,a bug
centipede,32,"a pair of long, antennae"
centipede,32,a trees
centipede,32,many legs
centipede,32,a home
centipede,32,a yard
centipede,32,arthropod
centipede,32,soil
lorikeet,33,trees
lorikeet,33,a perch
lorikeet,33,a food dish
lorikeet,33,a birdcage
lorikeet,33,animal
lorikeet,33,a curved beak
lorikeet,33,a human
lorikeet,33,a short beak
lorikeet,33,a water bowl
lorikeet,33,a fruit
lorikeet,33,a toy
lorikeet,33,a protruding crest on the head
lorikeet,33,"a small, dark-colored body"
lorikeet,33,"a long, thin tail"
lorikeet,33,vertebrate
lorikeet,33,a small body
lorikeet,33,"red, blue, and yellow feathers"
lorikeet,33,a birdbath
lorikeet,33,a bird feeder
lorikeet,33,"a long, feathered tail"
lorikeet,33,brightly colored feathers
"garden spider, Aranea diademata",34,a predator
"garden spider, Aranea diademata",34,a branch
"garden spider, Aranea diademata",34,a prey animal
"garden spider, Aranea diademata",34,arachnid
"garden spider, Aranea diademata",34,"a long, thin legs"
"garden spider, Aranea diademata",34,a animal
"garden spider, Aranea diademata",34,a leaf
"garden spider, Aranea diademata",34,"a small, round shape"
"garden spider, Aranea diademata",34,a tree
"garden spider, Aranea diademata",34,a garden
"garden spider, Aranea diademata",34,eight long legs
"garden spider, Aranea diademata",34,"a long, thin abdomen"
"garden spider, Aranea diademata",34,two long pedipalps
"garden spider, Aranea diademata",34,a dark-colored carapace
spoonbill,35,a animal
spoonbill,35,a net
spoonbill,35,a webbed foot
spoonbill,35,a marsh
spoonbill,35,"a long, slender neck"
spoonbill,35,"a long, curved bill"
spoonbill,35,a reel
spoonbill,35,a fish
spoonbill,35,a rod
spoonbill,35,"a tall, slender body"
spoonbill,35,a swamp
spoonbill,35,"a long, thin neck"
spoonbill,35,feathers at the other end
spoonbill,35,black plumage
spoonbill,35,a lake
spoonbill,35,bait
spoonbill,35,"a large, flat beak"
spoonbill,35,vertebrate
spoonbill,35,a long beak
spoonbill,35,a small head at the other end
spoonbill,35,a river
hermit crab,36,a light color
hermit crab,36,a human
hermit crab,36,a animal
hermit crab,36,"a long, thin legs"
hermit crab,36,sand
hermit crab,36,invertebrate
hermit crab,36,a shell
hermit crab,36,a tide pool
hermit crab,36,"a small, crab-like body"
hermit crab,36,claws on its legs
hermit crab,36,usually has a dark color
hermit crab,36,two large claws
hermit crab,36,a rock
hermit crab,36,arthropod
hermit crab,36,seaweed
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,a animal
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,a large size
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,a surfboard
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,a surfer
